State,AGREE_VIOLENCE,DISAGREE_VIOLENCE
National,17,79
Alabama,26,70
Alaska,25,74
Arizona,17,78
Arkansas,27,65
California,16,80
Colorado,22,77
Connecticut,14,81
Delaware,23,74
District of Columbia,18,82
Florida,15,79
Georgia,18,77
Hawaii,20,79
Idaho,23,75
Illinois,15,81
Indiana,24,68
Iowa,18,78
Kansas,20,77
Kentucky,18,77
Louisiana,26,71
Maine,23,74
Maryland,11,87
Massachusetts,13,86
Michigan,16,80
Minnesota,13,81
Mississippi,20,77
Missouri,20,77
Montana,21,77
Nebraska,16,81
Nevada,19,75
New Hampshire,15,82
New Jersey,12,83
New Mexico,21,77
New York,17,80
North Carolina,14,82
North Dakota,25,74
Ohio,17,78
Oklahoma,28,68
Oregon,15,78
Pennsylvania,19,76
Rhode Island,16,80
South Carolina,21,74
South Dakota,21,76
Tennessee,20,74
Texas,18,78
Utah,12,84
Vermont,16,84
Virginia,14,83
Washington,10,86
West Virginia,35,57
Wisconsin,15,82
Wyoming,28,71
